date,us_treasury_10y,inflation,gold,sp500,dollar_index
2019-03-12,3.1655,3.1599,101.5946,110.3293,97.5078
2019-03-13,3.2641,3.2268,101.8888,110.5971,98.5823
2019-03-14,3.3141,3.148,99.9893,110.8232,97.377
2019-03-15,3.383,3.1269,99.3911,108.9663,98.9539
2019-03-18,3.4901,3.1517,97.2953,108.3499,99.9435
2019-03-19,3.3736,3.0966,97.2691,109.0939,96.843
2019-03-20,3.3409,3.0571,96.9193,108.8388,97.5139
2019-03-21,3.1726,2.9441,98.1401,111.436,97.9321
2019-03-22,3.1783,2.9738,99.1094,111.4316,96.1365
2019-03-25,3.1743,2.9679,99.6284,110.8197,97.3812
2019-03-26,3.2521,2.9323,99.5431,109.7212,99.0018
2019-03-27,3.2074,2.9355,100.9096,111.5357,99.5117
2019-03-28,3.2026,3.0804,101.431,112.415,100.1696
2019-03-29,3.2516,3.0035,99.7517,113.174,101.3939
2019-04-01,3.3559,2.9497,98.2349,113.2375,101.6406
2019-04-02,3.4165,2.8872,99.0148,115.6148,101.9159
2019-04-03,3.4428,2.9354,97.2941,113.7205,102.948
2019-04-04,3.4871,2.8586,97.1359,113.9395,101.8155
2019-04-05,3.3304,2.8465,97.9359,116.0672,101.1703
2019-04-08,3.3257,2.8444,97.8424,116.1934,100.8752
2019-04-09,3.3746,2.8349,98.388,117.0592,101.5495
2019-04-10,3.2569,2.7115,99.296,118.8913,102.1944
2019-04-11,3.1695,2.7563,100.4672,118.022,103.917
2019-04-12,3.1729,2.8181,100.2974,117.076,105.8874
2019-04-15,3.111,2.7856,100.1003,115.2752,105.817
2019-04-16,3.1753,2.6912,100.1011,115.366,108.4179
2019-04-17,2.9789,2.6311,100.8475,114.9635,106.8169
2019-04-18,2.8633,2.5523,100.8516,114.5142,106.2878
2019-04-19,2.949,2.5702,100.4542,114.1496,108.9881
2019-04-22,2.9135,2.4972,99.1728,114.8391,108.8995
2019-04-23,2.9549,2.5526,98.4739,113.4185,110.3692
2019-04-24,3.1097,2.6195,97.2423,108.4356,113.2763
2019-04-25,3.0284,2.585,97.7614,106.8561,115.4456
2019-04-26,3.111,2.6985,98.0805,107.0327,115.0431
2019-04-29,3.1941,2.7863,98.1162,106.1513,115.7729
2019-04-30,3.274,2.8049,96.2953,106.4613,115.7953
2019-05-01,3.2593,2.7554,95.4321,103.796,116.1658
2019-05-02,3.2236,2.7509,95.6653,105.6851,116.353
2019-05-03,3.1888,2.5972,94.1757,105.0052,117.4704
2019-05-06,3.3154,2.748,95.1581,106.4769,116.4796
2019-05-07,3.1975,2.7568,97.0611,106.4411,115.5175
2019-05-08,3.1291,2.8236,97.9885,105.5943,116.679
2019-05-09,3.1117,2.8358,98.8689,106.1299,115.4309
2019-05-10,3.1741,2.8811,99.1597,106.9247,115.4193
2019-05-13,3.1242,2.8437,98.6475,108.8222,113.6279
2019-05-14,3.2466,2.8312,97.4671,107.3034,113.9172
2019-05-15,3.2162,2.9283,98.0986,106.3157,112.9864
2019-05-16,3.1827,2.8611,98.5336,108.4228,109.9126
2019-05-17,3.1938,2.846,97.7688,108.8013,108.7549
2019-05-20,3.2743,2.9363,99.1863,110.6539,110.3465
2019-05-21,3.259,2.9078,98.5283,111.5774,109.5846
2019-05-22,3.1527,2.8927,98.4003,112.4184,110.3593
2019-05-23,3.149,2.8503,98.2516,114.992,110.5936
2019-05-24,3.2475,2.9919,97.9592,114.349,110.7921
2019-05-27,3.2963,3.0331,98.2842,115.4101,110.4009
2019-05-28,3.3169,2.8962,97.9383,115.2131,109.7677
2019-05-29,3.1576,2.8802,99.3831,115.6089,106.2999
2019-05-30,3.2941,3.0596,99.6872,113.5699,108.2548
2019-05-31,3.2782,3.0127,98.7535,112.8977,108.15
2019-06-03,3.4214,3.0988,97.7103,112.0732,109.6105
2019-06-04,3.3038,3.0822,99.2345,114.4239,107.6755
2019-06-05,3.2903,3.033,99.5122,116.5363,109.316
2019-06-06,3.2452,3.0205,99.4892,116.5175,109.0189
2019-06-07,3.2613,3.0544,99.8724,118.8585,108.1221
2019-06-10,3.2765,3.034,100.5798,116.0267,108.9818
2019-06-11,3.1818,3.2259,102.6256,118.9122,107.1658
2019-06-12,3.0353,3.0737,102.1952,118.5265,108.394
2019-06-13,3.0382,3.1701,103.1665,118.4837,105.3655
2019-06-14,3.2206,3.2927,104.0864,118.3243,105.5496
2019-06-17,3.2311,3.1514,102.7108,117.4091,106.3646
2019-06-18,3.2082,3.2023,103.4136,118.5822,105.4313
2019-06-19,3.179,3.056,103.9452,120.1089,104.0895
2019-06-20,3.2947,2.9838,102.8924,119.9776,104.2034
2019-06-21,3.2864,3.1245,103.5058,120.7456,103.7787
2019-06-24,3.2288,3.1518,104.9129,123.2308,103.3398
2019-06-25,3.1711,3.064,103.4427,121.2574,102.8269
2019-06-26,3.1478,3.1089,103.9549,120.3387,103.4531
2019-06-27,3.2111,3.0986,104.5171,123.4561,101.477
2019-06-28,3.2261,3.1312,104.9932,123.2572,100.9945
2019-07-01,3.1614,3.1948,106.2564,122.5441,100.2902
2019-07-02,3.1719,3.1618,107.2965,123.64,99.8963
2019-07-03,3.2603,3.0602,105.3425,121.3217,100.6094
2019-07-04,3.184,3.1517,106.0214,121.4266,100.1103
2019-07-05,3.126,3.1402,104.3584,120.245,100.3707
2019-07-08,3.2655,3.1888,104.9587,120.5083,101.051
2019-07-09,3.1536,3.1724,104.7771,121.4262,101.4433
2019-07-10,3.0946,3.1555,105.4277,122.9816,102.7157
2019-07-11,3.1126,3.1872,104.9902,124.4489,102.3511
2019-07-12,3.1271,3.2939,105.2818,124.0862,101.3098
2019-07-15,3.0515,3.3885,105.7429,124.7221,103.0371
2019-07-16,3.1001,3.2971,104.0746,123.7632,103.9091
2019-07-17,2.9964,3.2466,104.2895,122.9119,102.7742
2019-07-18,2.9359,3.2169,104.1185,122.9051,104.0551
2019-07-19,2.9578,3.2846,104.8478,124.0404,103.423
2019-07-22,2.887,3.1786,104.8665,124.3864,102.4197
2019-07-23,2.9918,3.1823,102.5819,120.7011,104.299
2019-07-24,3.0863,3.2002,101.5643,121.6088,103.7477
2019-07-25,3.0511,3.1578,100.3377,121.5566,102.1905
2019-07-26,2.9266,3.1234,101.7754,125.9217,100.6839
2019-07-29,2.9724,3.1709,100.9524,126.4565,100.8951
2019-07-30,3.0517,3.0872,98.9997,126.7637,102.1562
2019-07-31,2.951,3.2594,101.0049,130.2483,99.7565
2019-08-01,3.0727,3.3204,99.4801,128.9663,101.0535
2019-08-02,3.0395,3.3667,99.2369,132.5387,100.6987
2019-08-05,3.0577,3.2761,97.2657,128.2185,101.9642
2019-08-06,2.994,3.2282,97.8447,125.4514,102.0093
2019-08-07,3.0269,3.3605,99.8171,124.1385,101.4341
2019-08-08,3.086,3.4212,100.7572,121.5054,102.0852
2019-08-09,3.0882,3.3538,101.142,122.6788,101.9062
2019-08-12,3.111,3.3779,100.8773,122.653,102.4222
2019-08-13,3.1517,3.345,102.2953,123.2054,102.552
2019-08-14,3.0832,3.3166,103.742,125.454,100.108
2019-08-15,2.9401,3.2617,104.0025,125.2068,101.2553
2019-08-16,2.959,3.3678,105.0942,124.9744,99.6038
2019-08-19,2.8244,3.3398,108.0398,127.8779,97.727
2019-08-20,2.787,3.2126,105.7965,127.5994,98.7116
2019-08-21,2.7076,3.0935,106.5535,129.0649,96.7905
2019-08-22,2.7662,2.9669,105.3639,129.2818,97.1689
2019-08-23,2.7104,2.8743,105.3687,130.1745,95.8787
2019-08-26,2.7356,2.8012,105.7121,132.7184,94.7873
2019-08-27,2.7612,2.8483,104.3504,131.1622,96.9417
2019-08-28,2.9046,2.913,103.3606,130.1125,97.1322
2019-08-29,2.814,2.8781,104.9098,131.8654,96.3872
2019-08-30,2.8632,2.8846,104.1262,130.0599,97.5304
2019-09-02,2.8721,2.888,103.8672,129.1273,99.7591
2019-09-03,2.81,2.8782,103.1699,132.1731,99.4249
2019-09-04,2.7587,2.9385,103.5248,129.9588,98.1229
2019-09-05,2.8254,2.8913,102.9538,129.1032,98.0669
2019-09-06,2.7699,2.8776,104.4106,127.7807,96.6424
2019-09-09,2.8782,2.8716,101.9806,129.4484,97.9008
2019-09-10,2.8588,2.7728,100.7597,128.7602,98.0078
2019-09-11,2.9084,2.86,100.311,130.5675,98.9878
2019-09-12,2.7921,2.9793,101.2797,129.8843,98.3819
2019-09-13,2.8646,3.1009,102.3528,130.8424,96.5085
2019-09-16,2.9161,3.0928,102.5044,131.0713,94.4337
2019-09-17,2.84,3.1539,103.6991,128.8752,93.411
2019-09-18,2.8131,3.1078,104.058,129.1316,93.3425
2019-09-19,2.8094,3.0308,104.7754,129.3977,94.3213
2019-09-20,2.7977,3.0199,104.3191,129.8775,95.097
2019-09-23,2.7335,2.8385,103.5994,133.285,94.3624
2019-09-24,2.7526,2.9466,105.0157,133.6636,94.384
2019-09-25,2.7115,2.8246,105.6985,133.1781,94.592
2019-09-26,2.6465,2.9544,107.4704,131.1546,94.161
2019-09-27,2.669,2.9042,106.7508,132.2973,94.0451
2019-09-30,2.5324,2.7597,106.6874,132.0463,93.5417
2019-10-01,2.4133,2.6992,107.5404,131.2345,91.5975
2019-10-02,2.5516,2.6571,105.7169,129.3054,93.2562
2019-10-03,2.6945,2.658,104.1248,127.1633,94.5133
2019-10-04,2.7342,2.6324,102.8635,124.9059,95.6739
2019-10-07,2.7849,2.5627,101.567,123.9004,96.3877
2019-10-08,2.9719,2.6929,100.6566,124.0674,97.0518
2019-10-09,2.981,2.5725,99.0796,124.6349,96.6906
2019-10-10,2.8234,2.5293,99.6006,124.3133,97.3131
2019-10-11,2.8835,2.5352,99.877,124.2878,97.6327
2019-10-14,2.8989,2.6618,100.7977,123.914,96.9509
2019-10-15,2.8382,2.841,101.1226,123.9379,95.8074
2019-10-16,2.9336,2.8224,101.0976,123.1218,96.9806
2019-10-17,2.9221,2.8401,100.2993,121.7901,97.3498
2019-10-18,2.9636,2.8642,100.4963,122.5119,98.6585
2019-10-21,3.0485,3.0727,102.3024,124.6759,99.9112
2019-10-22,3.1407,3.0606,102.5687,124.8536,100.127
2019-10-23,3.2408,3.0854,101.7427,125.4341,101.2721
2019-10-24,3.2306,3.0656,103.0721,125.2675,99.0034
2019-10-25,3.2144,2.8855,101.1929,125.2737,99.5655
2019-10-28,3.2027,3.0049,101.1083,124.6606,99.9068
2019-10-29,3.2912,3.1492,102.1657,125.4939,100.0167
2019-10-30,3.2974,3.1882,100.8213,128.2817,98.6655
2019-10-31,3.4183,3.2063,101.7588,128.3224,99.8076
2019-11-01,3.5644,3.2048,100.7751,126.0304,99.8995
2019-11-04,3.5383,3.2455,100.6545,127.1843,100.9455
2019-11-05,3.4759,3.1918,101.4461,125.5124,100.1007
2019-11-06,3.2901,3.1011,100.9235,125.3472,99.9116
2019-11-07,3.2856,3.2475,101.0631,126.0669,98.9766
2019-11-08,3.126,3.1221,102.5358,125.5138,99.3233
2019-11-11,3.226,3.0223,103.4324,127.8671,99.4734
2019-11-12,3.2655,3.0167,104.3543,131.4694,98.3213
2019-11-13,3.3041,3.009,103.5191,130.586,99.3008
2019-11-14,3.2535,2.9817,103.6826,130.5497,98.8031
2019-11-15,3.3305,2.878,101.9218,131.2305,98.8999
2019-11-18,3.3047,2.8528,100.8926,131.5641,98.2441
2019-11-19,3.1393,2.7082,100.8594,134.011,98.2825
2019-11-20,2.9348,2.5934,100.221,134.3594,96.9123
2019-11-21,2.8692,2.5163,99.7609,134.7457,98.2443
2019-11-22,2.9025,2.4558,97.8608,135.6423,99.1508
2019-11-25,2.8148,2.4489,99.3233,136.1975,97.2305
2019-11-26,3.0219,2.5634,98.5142,136.3177,98.8564
2019-11-27,3.0954,2.5184,97.8525,135.1973,101.3664
2019-11-28,3.0291,2.5299,98.5477,135.7993,102.4136
2019-11-29,3.2053,2.5266,98.2454,136.3173,104.7016
2019-12-02,3.2162,2.5621,98.2899,138.3909,104.4122
2019-12-03,3.2298,2.7014,100.307,138.5316,104.6972
2019-12-04,3.1679,2.8277,100.7296,137.5372,104.9307
2019-12-05,3.0295,2.8485,103.3977,139.2501,105.2475
2019-12-06,3.1491,2.9076,102.4657,140.7543,103.9984
2019-12-09,3.0868,2.8759,101.4122,140.4999,103.6383
2019-12-10,2.9334,2.7374,100.3108,138.8659,103.7918
2019-12-11,2.9812,2.7984,100.5376,135.9483,103.19
2019-12-12,2.9609,2.7711,100.7169,134.4644,103.5523
2019-12-13,2.9679,2.6635,100.9798,132.8098,104.6611
2019-12-16,3.0446,2.6769,101.0506,136.6001,103.4953
2019-12-17,2.9937,2.6607,99.1926,136.8975,103.5276
2019-12-18,3.0707,2.6437,100.1697,136.9065,102.1755
2019-12-19,2.994,2.3972,99.7242,141.0436,100.9281
2019-12-20,2.9667,2.255,100.1669,138.4852,102.7104
2019-12-23,2.823,2.199,102.0422,140.2029,100.6164
2019-12-24,2.8428,2.2631,102.773,142.8688,100.1846
2019-12-25,2.718,2.2859,104.3029,143.6084,99.5161
2019-12-26,2.7732,2.2147,103.8285,141.7209,101.5605
2019-12-27,2.9077,2.3308,102.9102,140.355,100.9329
2019-12-30,2.8035,2.3287,104.0009,142.0372,100.7605
2019-12-31,2.6987,2.3753,105.6144,142.0566,99.8967
2020-01-01,2.6564,2.3599,105.324,144.8889,100.6928
2020-01-02,2.606,2.3597,104.7668,143.7757,100.7588
2020-01-03,2.4462,2.389,106.3481,143.4096,101.5423
2020-01-06,2.4489,2.358,105.2616,145.9596,100.8551
2020-01-07,2.3928,2.2502,105.4911,147.7593,97.4116
2020-01-08,2.3981,2.2413,105.8617,150.552,97.119
2020-01-09,2.5178,2.3068,108.3548,150.4033,99.4992
2020-01-10,2.4538,2.2949,109.6781,149.8996,98.2038
2020-01-13,2.4906,2.4,110.2547,148.7511,97.5439
2020-01-14,2.5385,2.5458,110.3382,153.0928,97.568
2020-01-15,2.5688,2.5048,108.5944,152.7501,98.0185
2020-01-16,2.532,2.5379,108.7691,152.5045,96.5433
2020-01-17,2.5539,2.6896,110.1254,152.9681,96.942
2020-01-20,2.4981,2.6314,109.6165,152.8219,96.4094
2020-01-21,2.4397,2.508,109.9601,154.6545,95.4827
2020-01-22,2.4346,2.522,111.3102,153.694,95.1933
2020-01-23,2.371,2.539,113.0196,154.2278,94.3744
2020-01-24,2.2171,2.4782,113.819,155.4296,95.7416
2020-01-27,2.3149,2.4695,112.4739,153.1546,98.4965
2020-01-28,2.3018,2.4693,112.6527,153.1923,98.427
2020-01-29,2.2766,2.4931,113.1242,155.2517,98.8832
2020-01-30,2.0098,2.3661,113.4432,156.5947,98.3169
2020-01-31,2.1522,2.5741,114.8523,156.9003,98.5842
2020-02-03,2.2222,2.4437,113.3747,157.5515,99.4185
2020-02-04,2.1731,2.4143,113.7423,158.1235,99.2845
2020-02-05,2.1472,2.3934,113.2812,158.023,100.2467
2020-02-06,2.0509,2.3017,111.2721,157.3933,98.4235
2020-02-07,2.0528,2.3078,112.1934,159.0155,97.2933
2020-02-10,2.0382,2.4789,114.2887,157.0451,96.8737
2020-02-11,1.8722,2.4738,116.1448,157.6864,94.7558
2020-02-12,1.9712,2.4774,115.6672,154.8687,94.7383
2020-02-13,1.9453,2.3027,114.8024,155.7844,94.8169
2020-02-14,2.0969,2.2556,112.6573,158.4284,94.637
2020-02-17,2.2719,2.3163,112.4339,157.4245,96.3244
2020-02-18,2.4525,2.4445,113.1437,160.803,96.2804
2020-02-19,2.3423,2.2579,111.9588,162.2511,95.5757
2020-02-20,2.4305,2.2475,112.121,160.4458,94.4452
2020-02-21,2.384,2.2423,113.1244,156.8007,94.8726
2020-02-24,2.2468,2.2222,113.5774,156.7694,93.7768
2020-02-25,2.1103,2.1368,114.028,157.481,92.1167
2020-02-26,2.2673,2.1706,112.02,154.009,93.0803
2020-02-27,2.1369,2.0096,111.7284,153.3914,92.1832
2020-02-28,2.0134,2.0386,112.2592,152.617,91.6842
2020-03-02,2.0968,2.0732,111.9413,153.1842,91.1763
2020-03-03,2.1539,2.0719,112.0388,152.7537,90.7613
2020-03-04,2.1371,2.0734,112.3587,152.6343,90.0452
2020-03-05,2.1132,2.0376,113.6916,155.2043,87.6818
2020-03-06,2.0105,2.0412,114.8798,157.7171,86.4965
2020-03-09,1.9735,2.1015,116.1665,159.4722,87.3475
2020-03-10,1.9535,2.0046,117.1443,161.255,87.274
2020-03-11,1.9025,1.9454,118.8747,160.7575,86.3561
2020-03-12,1.967,2.0182,118.1827,162.4322,86.6802
2020-03-13,1.9057,2.0839,119.124,166.4937,86.5484
2020-03-16,1.8761,2.089,119.2551,169.5498,87.3287
2020-03-17,2.0071,2.1026,118.0716,168.3095,88.7864
2020-03-18,2.0078,2.0924,118.1858,168.0588,89.282
2020-03-19,1.8521,2.0355,117.8588,170.5188,88.2546
2020-03-20,1.8441,2.0656,118.3667,175.1259,88.7703
2020-03-23,1.8383,2.0415,117.6203,172.3296,87.7117
2020-03-24,1.761,2.0418,116.9995,172.017,88.3233
2020-03-25,1.8213,2.0323,116.902,170.5007,89.1123
2020-03-26,1.7765,2.0511,117.702,168.6529,88.1843
2020-03-27,1.8389,2.2004,117.7154,165.625,88.3315
2020-03-30,1.9783,2.2435,115.9189,165.23,89.365
2020-03-31,1.8382,2.1821,116.2771,168.4363,88.5456
2020-04-01,1.7715,2.2523,117.0991,169.396,87.9483
2020-04-02,1.8778,2.2534,116.0392,169.4326,87.5056
2020-04-03,2.0198,2.3309,117.7049,171.9807,87.745
2020-04-06,2.0627,2.2953,116.7915,171.342,86.4081
2020-04-07,2.0772,2.2987,116.6459,167.5224,87.6449
2020-04-08,2.1653,2.3377,117.7467,167.1217,87.6336
2020-04-09,2.3135,2.3554,118.4301,166.5834,88.2221
2020-04-10,2.2963,2.4441,119.7743,165.8575,87.4185
2020-04-13,2.3462,2.3752,119.2713,164.0322,86.8862
2020-04-14,2.3936,2.2959,118.2022,165.5131,86.2348
2020-04-15,2.4774,2.34,118.6127,164.2137,84.6633
2020-04-16,2.584,2.4842,119.7198,165.4925,83.854
2020-04-17,2.5545,2.433,119.6182,163.1349,83.1536
2020-04-20,2.5686,2.5373,120.8733,163.0377,84.5135
2020-04-21,2.5155,2.4619,120.0671,164.3097,84.5259
2020-04-22,2.6067,2.5881,121.7885,163.6716,83.9327
2020-04-23,2.6985,2.6299,120.9267,158.6343,84.1671
2020-04-24,2.6583,2.6557,121.7019,160.5892,83.8209
2020-04-27,2.821,2.7124,120.7178,162.2019,85.2589
2020-04-28,2.7498,2.7935,123.3323,163.9367,84.1886
2020-04-29,2.6055,2.6585,122.9614,162.0166,83.9699
2020-04-30,2.4904,2.5579,121.9529,160.5245,85.0952
2020-05-01,2.5226,2.611,122.4291,162.8956,84.9121
2020-05-04,2.5362,2.6017,121.7115,164.1747,84.6948
2020-05-05,2.6251,2.5886,121.686,161.5028,84.5154
2020-05-06,2.6516,2.5937,123.791,162.6914,83.9828
2020-05-07,2.6651,2.5755,123.3977,164.3283,83.3681
2020-05-08,2.6138,2.6473,125.5214,164.8095,82.0635
2020-05-11,2.4473,2.5748,126.7815,164.6933,81.0248
2020-05-12,2.5261,2.6921,126.546,163.4406,81.5239
2020-05-13,2.6318,2.6442,126.522,158.0276,83.1935
2020-05-14,2.7571,2.7974,126.6311,160.5402,82.7964
2020-05-15,2.9041,2.7564,125.2015,160.4352,83.6412
2020-05-18,3.0391,2.8484,124.3153,154.0312,86.559
2020-05-19,3.0587,2.94,125.2452,154.2518,85.9001
2020-05-20,3.0719,2.9271,124.373,153.3016,86.7579
2020-05-21,3.0717,2.87,123.7837,152.7074,86.9255
2020-05-22,3.201,2.9541,124.2257,153.191,87.9541
2020-05-25,3.1146,2.8426,122.2477,154.0839,87.3574
2020-05-26,3.1752,2.8726,121.6303,152.5246,87.9419
2020-05-27,3.1988,3.0026,122.3787,153.6433,87.3184
2020-05-28,3.2035,3.0236,122.5309,153.6497,86.9487
2020-05-29,3.283,3.0835,122.9308,155.8382,87.8483
2020-06-01,3.317,3.0152,120.9573,154.526,88.1809
2020-06-02,3.3561,3.0078,121.0155,154.2912,88.8335
2020-06-03,3.3657,3.0914,121.4697,159.0392,88.1269
2020-06-04,3.418,3.0859,119.9943,158.873,88.9013
2020-06-05,3.2837,3.063,121.7926,161.5658,88.4546
2020-06-08,3.2551,3.0841,121.6383,160.9787,87.5956
2020-06-09,3.289,3.0755,121.7648,161.3358,87.9877
2020-06-10,3.2902,3.0717,123.1238,164.7017,87.9685
2020-06-11,3.2845,3.0895,122.377,161.6131,89.3933
2020-06-12,3.1696,3.1143,123.3129,162.1642,88.8021
2020-06-15,3.1448,3.149,122.9296,164.5916,89.0703
2020-06-16,3.2465,3.1401,122.001,167.2854,90.645
2020-06-17,3.2324,3.2274,122.7594,168.1635,91.168
2020-06-18,3.1312,3.1152,122.6393,170.2587,90.8235
2020-06-19,3.1292,3.087,122.7941,169.4978,91.4062
2020-06-22,3.0202,2.9383,122.648,171.2319,90.1293
2020-06-23,2.8958,2.8504,121.7054,171.246,90.357
2020-06-24,2.9031,2.8775,121.4362,170.8311,90.0158
2020-06-25,2.9628,2.8289,121.2923,169.3603,90.1476
2020-06-26,2.9879,2.7924,121.4974,169.4432,89.3897
2020-06-29,2.9954,2.9025,121.6753,169.5119,87.2449
2020-06-30,3.0284,2.881,122.5957,170.4067,87.5728
2020-07-01,3.014,2.8221,122.0715,171.644,86.7848
2020-07-02,2.9701,2.6863,122.3924,170.4688,86.8553
2020-07-03,3.0353,2.6559,122.2258,169.9785,85.8571
2020-07-06,3.0512,2.6125,123.4814,171.7462,86.1162
2020-07-07,3.062,2.524,121.3087,174.2873,85.4867
2020-07-08,3.0678,2.4977,120.1514,179.5972,84.6556
2020-07-09,3.1909,2.6054,119.2348,175.5224,85.7644
2020-07-10,3.2898,2.7693,119.6233,173.4556,85.676
2020-07-13,3.2441,2.6648,118.8695,172.4158,87.3095
2020-07-14,3.262,2.6738,119.5001,173.0228,88.5509
2020-07-15,3.3242,2.6378,119.4891,174.0695,87.7108
2020-07-16,3.2143,2.6677,120.4367,176.6537,86.6436
2020-07-17,3.2995,2.7533,121.3218,180.0327,87.4322
2020-07-20,3.4078,2.8078,121.686,182.2525,88.0738
2020-07-21,3.4598,2.9005,121.9146,179.0618,87.7611
2020-07-22,3.4481,2.9397,122.4508,176.0595,89.0705
2020-07-23,3.4838,2.85,121.5863,174.4623,89.8849
2020-07-24,3.4435,2.8576,121.8638,174.8917,88.5993
2020-07-27,3.4663,2.93,121.8339,171.8226,87.8196
2020-07-28,3.4368,2.9444,120.2506,170.4217,88.6206
2020-07-29,3.4149,3.1027,122.2915,168.581,88.387
2020-07-30,3.337,3.0417,121.6662,172.373,86.9185
2020-07-31,3.4031,3.0502,121.5287,176.0676,85.8679
2020-08-03,3.2456,3.0657,122.7148,177.3246,85.4422
2020-08-04,3.2116,3.0438,122.2454,177.6695,84.134
2020-08-05,3.1481,3.0302,125.288,177.7706,83.799
2020-08-06,2.9956,2.8879,122.3943,176.364,84.3775
2020-08-07,2.9369,2.8678,122.8857,175.3021,84.793
2020-08-10,2.9322,2.8187,121.9844,176.0838,84.4753
2020-08-11,2.8654,2.8054,123.0461,177.906,83.7372
2020-08-12,2.9337,2.7629,122.0812,177.1034,83.2236
2020-08-13,3.0231,2.783,120.0297,174.3499,83.4184
2020-08-14,3.0593,2.7173,119.332,177.6254,83.6312
2020-08-17,2.9238,2.7,119.7905,181.6325,82.4192
2020-08-18,2.8575,2.6537,121.4253,183.2917,82.2353
2020-08-19,2.8643,2.6015,120.9125,184.989,82.8115
2020-08-20,2.923,2.6659,119.7757,185.2768,83.1654
2020-08-21,2.9138,2.6115,118.9976,186.3338,84.302
2020-08-24,2.8759,2.6673,120.0342,186.093,83.7993
2020-08-25,2.8804,2.6152,119.4612,186.2159,84.8645
2020-08-26,3.1032,2.4551,118.4847,185.5588,85.8642
2020-08-27,3.0972,2.4377,118.0126,181.7118,85.0403
2020-08-28,3.167,2.2852,115.6065,182.0907,85.0923
2020-08-31,3.0695,2.283,116.6608,182.265,84.1279
2020-09-01,3.1106,2.1401,115.3635,180.8273,83.5711
2020-09-02,3.0033,2.1275,115.3769,181.6766,83.7451
2020-09-03,2.91,2.083,115.2342,183.2219,83.2469
2020-09-04,2.8959,2.121,116.3375,178.5278,83.7245
2020-09-07,2.9009,2.0679,115.9181,177.815,83.2887
2020-09-08,2.8258,2.1251,117.2613,177.2016,81.6119
2020-09-09,2.8767,2.0943,116.7864,175.4842,81.7324
2020-09-10,2.9893,2.2827,119.0639,171.9489,82.5945
